publication_id,mentor_id,link,abstract,publication_date
41,82,https://opg.optica.org/abstract.cfm?uri=optica-10-2-279,"Normal group velocity dispersion (GVD) microcombs offer high comb line power and high pumping efficiency compared to bright pulse microcombs. The recent demonstration of normal GVD microcombs using CMOS foundry-produced microresonators is an important step toward scalable production. However, the chromatic dispersion of CMOS devices is large and impairs the generation of broadband microcombs. Here, we report the development of a microresonator in which GVD is reduced due to a coupled-ring resonator configuration. Operating in the turnkey self-injection locking mode, the resonator is integrated in a hybrid manner with a semiconductor laser pump to produce high-power efficiency combs spanning a bandwidth of 9.9 nm (1.22 THz) centered at 1560 nm, corresponding to 62 comb lines. Fast, linear optical sampling of the comb waveform is used to observe the rich set of near-zero GVD comb …",2023-02-20
42,84,https://link.springer.com/content/pdf/10.1007/s13391-015-4493-3.pdf,"SnO2-reduced graphene oxide nanocomposite in the form of a free-standing film was prepared by simple chemical synthesis. The homogeneous and compact formation of the nanocomposite of SnO2 and reduced graphene oxide was confirmed by various analysis methods. When incorporated as anode in lithium-ion batteries, a high capacity (503 mAh g-1) and very stable cycle life were observed. These favorable properties probably arise from the efficient relaxation of high mechanical stress by the reduced graphene-oxide layers during the lithiation-delithiation process within SnO2.",2015-09-01
43,85,https://www.nature.com/articles/s41567-024-02408-0,"Entanglement is a key resource in quantum computing and other prospective technologies. Multidimensional photonic graph states, such as cluster states, have a special entanglement structure that makes them a valuable resource for quantum metrology, secure quantum communication and measurement-based quantum computation. However, to date, the generation of multidimensional photonic cluster states has relied on probabilistic methods that limit the scalability of typical optical generation methods. Here we present an experimental implementation in the microwave domain of a resource-efficient scheme for the deterministic generation of two-dimensional photonic cluster states. Using a coupled resonator array as a slow-light waveguide, a single flux-tunable transmon qubit as a quantum emitter and a second auxiliary transmon as a switchable mirror, we achieve rapid, shaped emission of entangled photon …",2022-06-21
44,87,https://www.degruyter.com/document/doi/10.1515/nanoph-2022-0137/html,"In recent years, the computational demands of deep learning applications have necessitated the introduction of energy-efficient hardware accelerators. Optical neural networks are a promising option; however, thus far they have been largely limited by the lack of energy-efficient nonlinear optical functions. Here, we experimentally demonstrate an all-optical Rectified Linear Unit (ReLU), which is the most widely used nonlinear activation function for deep learning, using a periodically-poled thin-film lithium niobate nanophotonic waveguide and achieve ultra-low energies in the regime of femtojoules per activation with near-instantaneous operation. Our results provide a clear and practical path towards truly all-optical, energy-efficient nanophotonic deep learning.",2022-05-02
45,91,https://pubs.acs.org/doi/abs/10.1021/acscatal.1c01203,"We report a combined experimental and computational study focused on the mechanism of oxidative conversion of benzene and ethylene to styrene using [(η2-C2H4)2Rh(μ-OAc)]2 as the catalyst precursor in the presence of Cu(OPiv)2 (OPiv = pivalate). Using [(η2-C2H4)2Rh(μ-OAc)]2 as the catalyst precursor, ∼411 turnovers of styrene are observed after 1 h, giving an apparent turnover frequency of ∼0.11 s–1 (calculated assuming the binuclear structure is maintained in the active catalyst). We identify the catalyst resting state to be [(η2-C2H4)2RhI(μ-OPiv)2]2(μ-Cu), which is a heterotrinuclear molecular complex in which a central CuII atom bridges two Rh moieties. At high Rh concentration in the presence of Cu(OPiv)2 and pivalic acid (HOPiv), the trinuclear complex [(η2-C2H4)2RhI(μ-OPiv)2]2(μ-Cu) converts to the binuclear Rh(II) complex [(HOPiv)RhII(μ-OPiv)2]2, which has been identified by 1H NMR …",2021-04-26
46,92,https://www.osti.gov/servlets/purl/2259238,"A laboratory experiment has been constructed for studying dusty plasmas where the dust consists of tiny grains of water ice. In the experiment a small amount of water vapor is introduced into a weakly-ionized plasma where the background gas is at cryogenic temperatures. The experiment uses liquid helium cryocoolers instead of previously used liquid nitrogen to enable operation at much colder temperatures than previously accessible. Furthermore, there is tight control and adjustability of both the temperature and the temperature gradient. The first two years of the project were devoted to construction and debugging and the remaining time was devoted to scientific investigations. There was a parallel effort in which theoretical models were developed describing the nucleation ice nucleation and growth processes. The ice grains range from being just a few atoms when first formed, to as large as 2 mm. The ice grains are nearly perfectly confined in the plasma because they have a negative charge while the plasma has a positive potential. The experiment has been diagnosed using photography with a long-distance microscope lens, laser illumination of the dust grains, laser induced fluorescence, and Fourier transform infrared spectrometry (FTIR). The FTIR measurements show that at temperatures below 80 K the ice grains are in an amorphous phase, above 150 K they are in a crystalline phase, and between 80 K and 150 K they are in a mixture of these two phases. The ice grains are observed to have long spindly, dendritic shapes and complicated dynamics involving a superposition of wave oscillations, vortex motion, and lattice formation. The …",2023-12-24
47,93,https://www.nature.com/articles/s41565-022-01282-2,"Combining highly coherent spin control with efficient light-matter coupling offers great opportunities for quantum communication and computing. Optically active semiconductor quantum dots have unparalleled photonic properties but also modest spin coherence limited by their resident nuclei. The nuclear inhomogeneity has thus far bound all dynamical decoupling measurements to a few microseconds. Here, we eliminate this inhomogeneity using lattice-matched GaAs–AlGaAs quantum dot devices and demonstrate dynamical decoupling of the electron spin qubit beyond 0.113(3) ms. Leveraging the 99.30(5)% visibility of our optical π-pulse gates, we use up to Nπ = 81 decoupling pulses and find a coherence time scaling of . This scaling manifests an ideal refocusing of strong interactions between the electron and the nuclear spin ensemble, free of extrinsic noise, which holds the promise of lifetime …",2023-03-01
48,100,https://pubs.acs.org/doi/full/10.1021/acsenergylett.0c02633,"Increased atmospheric carbon dioxide (CO2) levels have contributed to a global rise in temperatures, highlighting the need for carbon-neutral and carbon-negative processes. 1− 4 The production of chemicals such as alcohols, olefins, and hydrocarbons from anthropogenic CO2 emissions represents an approach that has the potential to decrease carbon emissions through the use of renewably powered processes and CO2 capture. 5− 8 One such chemical, ethylene, is widely used as a feedstock for the production of many raw materials such as polyethylene, ethylene oxide, and ethylene glycol. Recent improvements in electrochemical CO2 reduction (CO2R) to ethylene have spurred researchers to identify pathways toward profitability through techno-economic studies. Presently, such studies have not taken systematic account of CO2 loss; yet, in published experimental systems, significant CO2 is lost due to …",2021-02-16
49,101,https://link.aps.org/pdf/10.1103/PhysRevLett.120.163601,"It is desirable to observe synchronization of quantum systems in the quantum regime, defined by the low number of excitations and a highly nonclassical steady state of the self-sustained oscillator. Several existing proposals of observing synchronization in the quantum regime suffer from the fact that the noise statistics overwhelm synchronization in this regime. Here, we resolve this issue by driving a self-sustained oscillator with a squeezing Hamiltonian instead of a harmonic drive and analyze this system in the classical and quantum regime. We demonstrate that strong entrainment is possible for small values of squeezing, and in this regime, the states are nonclassical. Furthermore, we show that the quality of synchronization measured by the FWHM of the power spectrum is enhanced with squeezing.",2018-04-17
50,102,https://pubs.acs.org/doi/full/10.1021/acs.nanolett.8b00083,"Chiral metallic nanostructures can generate evanescent fields which are more highly twisted than circularly polarized light. However, it remains unclear how best to exploit this phenomenon, hindering the optimal utilization of chiral electromagnetic fields. Here, inspired by optical antenna theory, we address this challenge by introducing chiral antenna parameters: the chirality flux efficiency and the chiral antenna aperture. These quantities, which are based on chirality conservation, quantify the generation and dissipation of chiral light. We then present a label-free experimental technique, chirality flux spectroscopy, which measures the chirality flux efficiency, providing valuable information on chiral near fields in the far field. This principle is verified theoretically and experimentally with two-dimensionally chiral coupled nanorod antennas, for which we show that chiral near and far fields are linearly dependent on the …",2018-03-13
51,108,https://pubs.acs.org/doi/abs/10.1021/acs.nanolett.9b00546,"Nanoelectromechanical systems (NEMS) have emerged as a promising technology for performing the mass spectrometry of large biomolecules and nanoparticles. As nanoscale objects land on NEMS sensors one by one, they induce resolvable shifts in the resonance frequency of the sensor proportional to their weight. The operational regime of NEMS sensors is often limited by the onset of nonlinearity, beyond which the highly sensitive schemes based on frequency tracking by phase-locked loops cannot be readily used. Here, we develop a measurement architecture with which to operate at the nonlinear regime and measure frequency shifts induced by analytes in a rapid and sensitive manner. We used this architecture to individually characterize the mass of gold nanoparticles and verified the results by performing independent measurements of the same nanoparticles based on linear mass sensing. Once the …",2019-05-22
